"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
827,640448,"Finnegan, Kyle",2021,1209,68.4,0.267,0.199,0.313,0.466,0.357,0.324,0.236,43,161,91.1,8.3,2058,95.6,96.32,78,375,452,0.7000000000000028,6.66,109,153,118,145,301,321,297,"-5.5","5.5"
827,672715,"Patiño, Luis",2021,1365,60.6,0.228,0.141,0.245,0.37,0.286,0.337,0.259,42,184,91.1,21.7,2415,95.7,96.32,107,463,364,0.5999999999999943,6.73,109,159,117,150,297,321,296,"5.1","-5.1"
826,607192,"Glasnow, Tyler",2023,1894,43.6,0.24,0.173,0.308,0.413,0.326,0.335,0.238,47,196,90.6,5.2,2489,96.4,98.51,97,392,434,2.0999999999999943,7.52,108,148,114,149,295,327,303,"0.7","-0.7"
824,622491,"Castillo, Luis",2022,2506,32.9,0.152,0.042,0.286,0.194,0.203,0.247,0.18,25,165,89.8,23.4,2354,97.1,95.74,139,412,412,-1.3999999999999915,5.57,115,153,118,148,292,321,293,"17.4","-17.4"
822,547179,"Lorenzen, Michael",2023,2367,34.7,0.211,0.123,0.246,0.333,0.285,0.338,0.233,36,171,93.2,21.1,2452,94.3,93.39,67,391,431,-0.8999999999999915,5.82,115,147,117,149,289,323,299,"9.6","-9.6"
821,676710,"Crawford, Kutter",2023,2099,39.1,0.164,0.164,0.223,0.327,0.261,0.268,0.177,28,171,92,25.3,2488,93.6,93.24,115,443,378,-0.3999999999999915,6.22,111,149,117,149,290,327,291,"9","-9"
821,669169,"Heasley, Jonathan",2022,1796,45.7,0.277,0.277,0.27,0.554,0.4,0.373,0.258,49,177,91.3,23,2322,93.4,92.79,52,375,446,-0.6000000000000085,6.26,108,157,115,149,299,324,303,"-4.2","4.2"
818,671737,"Bradley, Taj",2023,1821,44.9,0.277,0.282,0.311,0.559,0.387,0.37,0.263,54,195,91.4,23.3,2292,96.1,96.11,87,456,362,0,6.44,109,148,116,149,296,327,303,"-4.7","4.7"
816,645261,"Alcantara, Sandy",2022,3248,25.1,0.229,0.184,0.272,0.413,0.307,0.314,0.232,41,179,91.1,24.5,2199,98,96.87,105,429,387,-1.0999999999999943,5.9,112,154,116,151,295,317,296,"3.6","-3.6"
814,656605,"Keller, Mitch",2023,3119,26.1,0.176,0.176,0.289,0.351,0.273,0.278,0.177,33,188,90.2,19.4,2377,95.2,95.66,121,401,413,0.5,6.56,111,148,115,151,296,320,297,"4.6","-4.6"
814,621244,"Berríos, José",2021,3043,26.7,0.273,0.261,0.296,0.534,0.369,0.378,0.28,44,161,89.7,15.1,2231,94.1,93.6,80,372,442,-0.5,6.42,110,157,121,149,298,326,298,"-5","5"
813,593144,"Rodríguez, Richard",2021,944,86.1,0.221,0.178,0.227,0.399,0.277,0.333,0.255,47,213,91.8,25.2,2438,93.1,93.67,80,447,366,0.6000000000000085,6.79,110,153,124,147,303,324,294,"12.9","-12.9"
809,642203,"Widener, Taylor",2021,1217,66.5,0.259,0.235,0.28,0.494,0.372,0.394,0.275,43,166,89,16.9,2144,92.6,93.03,77,382,427,0.4000000000000057,6.6,108,151,116,149,295,325,295,"-2.2","2.2"
808,665622,"Medina, Luis",2023,1945,41.5,0.272,0.222,0.28,0.494,0.376,0.377,0.27,49,180,89.2,16.6,2324,96.1,96.21,47,390,418,0.10000000000000853,6.43,113,147,114,150,296,321,295,"-4","4"
804,641745,"Keller, Brad",2022,2275,35.3,0.25,0.13,0.299,0.38,0.302,0.299,0.248,52,208,87.1,6,2409,94.5,94.39,74,409,395,-0.09999999999999432,5.98,110,156,115,148,298,324,304,"-4.4","4.4"
803,666214,"Wentz, Joey",2023,1930,41.6,0.374,0.307,0.415,0.682,0.475,0.434,0.317,67,179,93.6,17.3,2222,93.4,93.37,73,385,418,0,6.39,112,150,116,146,300,325,291,"-23.1","23.1"
800,672578,"Hernández, Carlos",2021,1434,55.8,0.216,0.148,0.248,0.364,0.323,0.349,0.239,35,162,92.3,18.6,2372,97.2,98.08,87,392,408,0.8999999999999915,6.8,108,156,114,145,299,322,303,"8.7","-8.7"
799,663556,"McClanahan, Shane",2021,1954,40.9,0.308,0.192,0.333,0.5,0.378,0.41,0.322,56,182,94.4,14.8,2256,96.4,96.8,78,404,395,0.3999999999999915,6.74,101,153,114,148,301,321,292,"3","-3"
798,656876,"Rasmussen, Drew",2022,2239,35.6,0.223,0.119,0.262,0.342,0.262,0.272,0.231,43,193,89.8,12.3,2398,95.5,95.66,76,407,391,0.20000000000000284,6.52,109,155,112,151,301,326,299,"11","-11"
798,621368,"Hearn, Taylor",2021,1726,46.2,0.241,0.181,0.294,0.422,0.324,0.345,0.268,40,166,88.9,17.7,2271,95.1,92.63,88,384,414,-2.5,6.22,113,153,121,147,301,324,294,"6.2","-6.2"
791,459429,"McGee, Jake",2021,878,90.1,0.194,0.139,0.216,0.333,0.244,0.279,0.219,39,201,91.2,22.5,2143,94.9,94.59,87,460,331,-0.30000000000001137,6.15,112,153,113,149,299,322,292,"8.7","-8.7"
791,660261,"Fujinami, Shintaro",2023,1404,56.3,0.24,0.144,0.29,0.383,0.347,0.35,0.229,40,167,91.6,18.3,2014,98.4,99.51,92,362,429,1.0999999999999943,6.91,111,146,116,148,298,321,296,"-6.9","6.9"
789,672851,"Adon, Joan",2022,1204,65.5,0.288,0.241,0.321,0.529,0.409,0.414,0.288,49,170,90.7,10.4,2186,95,94.73,54,360,429,-0.29999999999999716,6.37,112,154,120,144,297,320,296,"-16.6","16.6"
789,664062,"Gonsolin, Tony",2022,2015,39.2,0.261,0.212,0.265,0.473,0.358,0.368,0.277,43,165,91,23.2,2326,93.1,92.54,64,384,405,-0.5999999999999943,6,112,159,119,150,295,316,295,"-0.9","0.9"
