"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
363,622663,"Severino, Luis",2022,1639,22.1,0.235,0.129,0.316,0.365,0.291,0.258,0.208,20,85,84.7,0.6,1557,88.8,88.82,56,180,183,0,6.38,110,153,119,150,300,331,290,"-7.2","7.2"
362,596295,"Gomber, Austin",2022,2059,17.6,0.266,0.149,0.269,0.415,0.31,0.309,0.257,25,94,85.6,5.9,1644,82,82.97,52,202,160,1,6.68,107,154,124,146,309,331,297,"4.1","-4.1"
361,622766,"Díaz, Miguel",2021,695,51.9,0.19,0.226,0.222,0.417,0.284,0.316,0.236,16,84,86.8,5.9,1759,86,85.12,38,161,200,-0.9000000000000057,5.7,116,151,132,145,297,324,312,"2","-2"
360,548389,"Stripling, Ross",2023,1453,24.8,0.305,0.203,0.356,0.508,0.344,0.326,0.292,36,118,86.1,12.3,1690,83.7,83.61,61,211,149,-0.10000000000000853,6.11,111,148,119,149,296,328,299,"-8.9","8.9"
360,596295,"Gomber, Austin",2021,1851,19.4,0.191,0.146,0.203,0.337,0.256,0.301,0.249,17,89,84.7,7.8,1655,83.1,84.17,57,182,178,1.1000000000000085,6.81,108,154,121,144,303,333,300,"3.8","-3.8"
359,676596,"Fleming, Josh",2021,1629,22,0.242,0.091,0.28,0.333,0.26,0.295,0.26,24,99,87.1,-3.1,1603,81.8,82.19,35,174,185,0.4000000000000057,6.62,104,153,116,149,306,320,288,"-3.8","3.8"
358,665152,"Kremer, Dean",2023,2925,12.2,0.26,0.117,0.322,0.377,0.312,0.326,0.268,20,77,84.2,-0.3,1715,85.3,85.43,41,152,206,0.10000000000000853,6.39,114,147,117,150,295,324,301,"-4.9","4.9"
355,623167,"Flexen, Chris",2022,2204,16.1,0.165,0.099,0.206,0.264,0.22,0.281,0.222,15,91,82.1,15.7,1309,81.1,80.81,53,160,195,-0.29999999999999716,6.04,113,153,118,148,285,322,301,"5.7","-5.7"
355,642121,"Sulser, Cole",2021,1070,33.2,0.125,0.054,0.186,0.179,0.174,0.226,0.179,14,112,83.3,9.2,1585,84,84.59,71,208,147,0.5999999999999943,6.7,112,154,119,149,294,322,298,"11.3","-11.3"
354,663558,"Moran, Jovani",2023,750,47.2,0.156,0.122,0.232,0.278,0.208,0.196,0.147,14,90,82.2,15.7,1692,83.2,83.53,87,171,183,0.29999999999999716,6.62,109,148,120,146,298,326,291,"2.2","-2.2"
353,669330,"Wells, Tyler",2023,1903,18.5,0.196,0.186,0.209,0.382,0.272,0.272,0.209,20,102,81,15,2252,85.4,85.5,62,189,164,0.09999999999999432,6.4,113,148,118,150,299,326,298,"0.4","-0.4"
353,593334,"Germán, Domingo",2021,1579,22.4,0.198,0.156,0.231,0.354,0.268,0.276,0.211,19,96,85.4,15.1,2293,86.5,86.22,60,190,163,-0.29999999999999716,6.21,110,156,121,147,295,326,293,"5.3","-5.3"
352,570663,"Robles, Hansel",2021,1185,29.7,0.181,0.181,0.192,0.361,0.268,0.332,0.248,13,72,87.1,3.6,1555,89.3,88,37,162,190,-1.2999999999999972,6.13,109,157,114,149,299,330,297,"1.4","-1.4"
352,656793,"Nelson, Nick",2022,1204,29.2,0.286,0.119,0.393,0.405,0.328,0.273,0.227,24,84,84.4,7.2,1916,87.9,87.37,55,161,191,-0.5,6.13,110,147,119,143,291,325,294,"-8.8","8.8"
351,606965,"Devenski, Chris",2023,680,51.6,0.235,0.133,0.299,0.367,0.265,0.277,0.225,23,98,86.9,13.9,1623,83.3,83.46,68,190,161,0.20000000000000284,6.39,113,146,116,146,299,329,301,"-1.7","1.7"
350,668678,"Gallen, Zac",2021,2102,16.7,0.232,0.146,0.276,0.378,0.314,0.301,0.23,19,82,86.5,3.5,1476,86.1,86.61,57,178,172,0.5,6.63,110,153,119,151,298,330,299,"-1.4","1.4"
348,666200,"Luzardo, Jesús",2021,1727,20.2,0.263,0.237,0.279,0.5,0.374,0.361,0.256,21,80,84.8,11.4,1878,86.6,84.35,62,177,171,-2.1999999999999886,5.56,103,149,118,147,303,321,287,"-6.1","6.1"
347,453286,"Scherzer, Max",2023,2465,14.1,0.207,0.076,0.29,0.283,0.264,0.264,0.195,19,92,85.9,8.7,1365,83.8,84.09,46,167,180,0.29999999999999716,6.46,118,148,123,151,297,324,298,"-0.8","0.8"
347,593974,"Peralta, Wandy",2022,816,42.5,0.198,0.05,0.26,0.248,0.228,0.243,0.203,20,101,84,6.5,2184,88.6,87.56,75,198,149,-1,5.91,106,152,119,147,296,324,284,"8.2","-8.2"
346,669203,"Burnes, Corbin",2023,3079,11.2,0.204,0.054,0.261,0.258,0.218,0.237,0.216,19,93,79.3,3.5,2049,89.3,89.86,55,180,166,0.6000000000000085,6.62,114,147,117,150,296,323,296,"5","-5"
346,663465,"Allard, Kolby",2021,2054,16.8,0.284,0.148,0.29,0.432,0.316,0.346,0.28,23,81,85.7,4.1,1606,83.6,82.71,37,149,197,-0.8999999999999915,5.69,108,152,121,145,304,326,292,"-3.9","3.9"
346,640455,"Manaea, Sean",2023,2052,16.9,0.208,0.125,0.224,0.333,0.257,0.309,0.252,15,72,86.6,9,1484,86.6,87.85,31,165,181,1.3000000000000114,6.97,105,150,117,147,301,324,295,"4.3","-4.3"
345,593334,"Germán, Domingo",2023,1653,20.9,0.2,0.106,0.246,0.306,0.26,0.312,0.256,17,85,84.9,11.1,2393,85.8,85.41,57,177,168,-0.3999999999999915,6.17,114,148,119,151,297,328,291,"3.8","-3.8"
