Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","MIL",149.77692307692308,80,108.48777777777778,33.34355266666667,"Corbin Burnes",19361,669203
"Gerrit Cole","NYY",141.42353951890036,79.93209355670105,81.40423280423279,68.13437142857143,"Gerrit Cole",13125,543037
"Jacob deGrom","NYM",136.36820809248556,71.57068616570328,177.0784090909091,57.85192784090909,"Jacob deGrom",10954,594798
"Trevor Bauer","LAD",134.8167796610169,65.59102247457628,99.23157894736843,33.93079263157895,"Trevor Bauer",12703,545333
"Tyler Glasnow","TBR",129.40853835021707,71.29662046309696,91.56764705882354,62.70735852941176,"Tyler Glasnow",14374,607192
"Walker Buehler","LAD",129.09665071770337,72.6119300478469,82.77499999999999,47.882577500000004,"Walker Buehler",19374,621111
"Yu Darvish","SDP",128.84190871369296,52.41093091286308,80.6,20,"Yu Darvish",13074,506433
"Zack Wheeler","PHI",128.55519031141867,69.95966171280278,66.92456140350879,47.807441578947376,"Zack Wheeler",10310,554430
"Yusei Kikuchi","SEA",127.11412429378531,65.16363104519775,78.95204081632653,41.93157510204082,"Yusei Kikuchi",20633,579328
"Brandon Woodruff","MIL",125.9079908675799,68.35634025114156,111.92847222222221,51.06314951388889,"Brandon Woodruff",16162,605540
"Blake Snell","SDP",125.45689320388347,62.15552196116504,70.2448087431694,39.65153005464481,"Blake Snell",13543,605483
"Nick Pivetta","BOS",125.308112324493,56.20551692667706,70.00625000000001,56.068858125,"Nick Pivetta",15454,601713
"Dylan Cease","CHW",124.94052173913045,56.825125513043474,92.41929824561404,51.805630350877195,"Dylan Cease",18525,656302
"Freddy Peralta","MIL",122.619165085389,61.51761335863377,85.82823529411763,32.030626705882355,"Freddy Peralta",18679,642547
"Frankie Montas","OAK",121.87418546365913,72.96321974937345,,,"Frankie Montas",14309,593423
"Danny Duffy","KCR",119.9173611111111,69.02065840277778,105.71481481481482,61.56338601851852,"Danny Duffy",3542,518633
"John Means","BAL",119.66,62.31829036697248,120.74347826086955,78.2497437458194,"John Means",16269,607644
"Max Scherzer","WSN",118.4344347826087,63.62759855652175,92.09030303030305,50.23564521212123,"Max Scherzer",3137,453286
"Tyler Mahle","CIN",117.6436152570481,66.90841177446103,,,"Tyler Mahle",16358,641816
"Taijuan Walker","NYM",117.35686900958468,53.83838309904153,,,"Taijuan Walker",11836,592836
"Lucas Giolito","CHW",116.95397111913356,55.470098682310464,92.16610526315789,68.62701932631579,"Lucas Giolito",15474,608337
"Griffin Canning","LAA",116.79065420560748,51.928410467289716,106.27932960893855,53.56715988826815,"Griffin Canning",19867,656288
"Rich Hill","TBR",116.61740088105728,65.75899889867841,93.75,49.4804325,"Rich Hill",4806,448179
"Carlos Rodón","CHW",115.4899841017488,69.70102696343403,80.88284023668639,52.85324544378699,"Carlos Rodon",16137,607074
"Sandy Alcantara","MIA",114.5846153846154,57.007767377622386,116.25795454545455,64.86084821022727,"Sandy Alcantara",18684,645261
"Vince Velasquez","PHI",113.27240437158468,56.81685267759563,86.06269841269842,50.264493888888886,"Vince Velasquez",11189,592826
"Kevin Gausman","SFG",112.80499168053242,66.71233976705489,76.85166666666667,46.82292666666667,"Kevin Gausman",14107,592332
"Lance Lynn","CHW",112.30846774193549,69.73653935483871,81.12881355932204,35.61482762711864,"Lance Lynn",2520,458681
"Shohei Ohtani","LAA",112.28333333333332,47.30739415458937,,,"Shohei Ohtani",19755,660271
"Clayton Kershaw","LAD",111.86286353467561,58.49783604026845,7.4,80,"Clayton Kershaw",2036,477132
"Nathan Eovaldi","BOS",110.86767857142857,69.59359696428571,,,"Nathan Eovaldi",9132,543135
"Julio Urías","LAD",110.32943089430896,72.67543388617887,104.32731958762886,66.56322051546393,"Julio Urias",14765,628711
"Chris Paddack","SDP",109.0035313001605,59.74980902086678,100.98415492957747,68.83067996478874,"Chris Paddack",20099,663978
"Jameson Taillon","NYY",108.95291750503019,67.2725127162978,77.8063829787234,38.84960723404255,"Jameson Taillon",11674,592791
"Jack Flaherty","STL",108.54456928838954,56.49340303370786,83.76111111111112,20,"Jack Flaherty",17479,656427
"Wil Crowe","PIT",108.2634328358209,45.89496891791044,80.98703703703704,51.6211925,"Wil Crowe",19800,640444
"Dylan Bundy","LAA",107.98997050147493,58.55498823008849,72.9687898089172,59.184706305732476,"Dylan Bundy",12917,605164
"Shane McClanahan","TBR",107.80642570281124,62.33016393574297,81.61875,39.82810078125,"Shane McClanahan",21483,663556
"Luke Weaver","ARI",107.7347721822542,55.339093405275776,83.9039408866995,54.709445221674876,"Luke Weaver",16918,596133
"Justin Dunn","SEA",107.2163594470046,52.27543744239632,58.2125,62.74029625,"Justin Dunn",19268,643290
"Robbie Ray","TOR",106.39704968944099,66.7220369099379,65.45294117647059,24.22662568627451,"Robbie Ray",11486,592662
"Anthony DeSclafani","SFG",105.97986111111112,69.30313152777778,85.18448275862069,39.67244,"Anthony DeSclafani",13050,543101
"Tyler Anderson","PIT",105.08789237668161,63.949892197309424,73.60173611111112,54.642383298611115,"Tyler Anderson",12880,542881
"Andrew Heaney","LAA",105.06487294469359,66.10142551569506,82.11944444444445,55.71759342592594,"Andrew Heaney",15423,571760
"Casey Mize","DET",104.94800000000001,55.95044908571428,,,"Casey Mize",20492,663554
