Season,Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
2023,"Spencer Strider","ATL",141.12395604395604,72.42695376923076,85.468,45.94242488888889,"Spencer Strider",27498,675911
2023,"Cal Quantrill","CLE",75.22105263157896,20,84.98612716763004,39.0135950867052,"Cal Quantrill",19312,615698
2023,"Braxton Garrett","MIA",79.48,46.42987427777778,84.98341013824886,43.059089170506915,"Braxton Garrett",21844,666129
2022,"Sean Manaea","SDP",,,84.90068376068375,48.23965239316241,"Sean Manaea",15873,640455
2022,"Rich Hill","BOS",88.84237288135593,50.28461124293787,84.74197530864195,36.557189753086426,"Rich Hill",4806,448179
2023,"Sonny Gray","MIN",104.99373368146216,63.326007493472574,84.65425531914892,37.77019670212766,"Sonny Gray",12768,543243
2022,"Kyle Gibson","PHI",75.33107692307696,41.724198400000006,84.25918367346941,56.10094465986394,"Kyle Gibson",10123,502043
2023,"Bryan Woo","SEA",100.64005891016201,57.912939941089824,84.25200000000001,40.01460339999999,"Bryan Woo",30279,693433
2022,"Zack Greinke","KCR",74.9628701594533,51.88943428246015,84.13002680965147,45.580141420911524,"Zack Greinke",1943,425844
2022,"Kevin Gausman","TOR",111.41509572901326,68.37154381443301,84.1076923076923,69.68622686274509,"Kevin Gausman",14107,592332
2023,"Seth Lugo","SDP",86.94847682119205,58.15054317880796,83.96382978723403,48.48543992907802,"Seth Lugo",12447,607625
2022,"Corey Kluber","TBR",72.97777777777779,25.975395555555554,83.94940711462449,45.51573604743082,"Corey Kluber",2429,446372
2023,"Luke Weaver","- - -",87.75963203463205,50.13081231601732,83.67754137115838,53.495661773049655,"Luke Weaver",16918,596133
2023,"Wade Miley","MIL",78.36876712328767,49.05641495890411,83.53217391304348,46.919099565217394,"Wade Miley",8779,489119
2022,"Spencer Strider","ATL",141.37858306188926,65.75413138436481,83.465,36.318877699999994,"Spencer Strider",27498,675911
2023,"Zack Greinke","KCR",72.47467411545624,49.722229869646185,83.33933933933933,50.39010840840841,"Zack Greinke",1943,425844
2023,"Luis Castillo","SEA",95.44750527055515,56.84178223471539,83.3356,59.89822514000001,"Luis Castillo",15689,622491
2023,"JP Sears","OAK",93.48285912560723,52.51934467730742,83.2675115207373,52.49415686635944,"JP Sears",23429,676664
2023,"David Peterson","NYM",78.14487704918032,35.71657583984375,83.053412462908,51.43727932394366,"David Peterson",20302,656849
2022,"Max Scherzer","NYM",111.70274669379452,61.88286935910478,82.89264705882351,51.053823492647055,"Max Scherzer",3137,453286
2022,"Julio Urías","LAD",105.9485530546624,63.843887403536975,82.54291938997821,52.41720788671021,"Julio Urias",14765,628711
2022,"Eduardo Rodriguez","DET",71.78333333333333,52.37929554307115,82.42436974789916,53.931273529411776,"Eduardo Rodriguez",13164,593958
2022,"José Suarez","LAA",89.16075731497418,59.53087542168675,82.12297979797982,55.527157979797984,"Jose Suarez",19911,660761
2023,"Corbin Burnes","MIL",,,82.03294797687862,56.17401303468209,"Corbin Burnes",19361,669203
2023,"Mitch Keller","PIT",100.15393120393121,52.10062619164619,81.9303370786517,54.63355303370788,"Mitch Keller",17594,656605
2023,"Yusei Kikuchi","TOR",116.6459842519685,58.601754952755904,81.89160583941607,32.47939423357664,"Yusei Kikuchi",20633,579328
2023,"Luis Medina","OAK",111.70642978003384,48.02277519458545,81.83916666666667,39.581757333333336,"Luis Medina",21649,665622
2022,"Reid Detmers","LAA",87.09122994652408,49.05080689839572,81.70121951219512,49.66141276422765,"Reid Detmers",27468,672282
2023,"Jameson Taillon","CHC",87.39298454221165,49.74030736028537,81.63717948717948,52.9530482051282,"Jameson Taillon",11674,592791
2022,"Jonathan Heasley","KCR",107.25837438423642,49.96520022167486,81.53733681462141,49.95068373368145,"Jonathan Heasley",22224,669169
2023,"Rich Hill","- - -",77.30247831474598,44.086490297397766,81.2375,30.154317321428575,"Rich Hill",4806,448179
2022,"Daniel Lynch IV","KCR",82.49457659372024,49.509105813510935,80.9436936936937,55.55324164414414,"Daniel Lynch IV",21537,663738
2023,"Luis Severino","NYY",103.05623306233062,54.943865067750686,80.8736301369863,54.79402599315068,"Luis Severino",15890,622663
2023,"Chris Sale","BOS",99.33490959666203,58.897649999999985,80.85114155251141,56.95976771689499,"Chris Sale",10603,519242
2023,"Brayan Bello","BOS",83.18722222222222,41.26044853703704,80.38194888178913,54.66544669329075,"Brayan Bello",23920,678394
2023,"Mike Clevinger","CHW",101.2862725450902,56.037633326653314,80.27925925925925,47.02777377777777,"Mike Clevinger",12808,605182
2022,"Mitch Keller","PIT",96.75535924617199,53.34384240282686,80.12832369942195,48.80495988439306,"Mitch Keller",17594,656605
2022,"Jordan Lyles","BAL",79.8744994731296,49.920118904109586,80.06068111455109,34.00383470588236,"Jordan Lyles",7593,543475
2022,"Kris Bubic","KCR",80.76740088105728,46.96063915418502,79.56260032102729,53.884195361155705,"Kris Bubic",21455,663460
2022,"Jakob Junis","SFG",74.25,23.7677375,79.48767772511847,52.00024440758293,"Jakob Junis",13619,596001
2022,"Eric Lauer","MIL",93.93923404255318,51.855799702127655,79.25903614457832,38.35475409638555,"Eric Lauer",19316,641778
2022,"Erick Fedde","WSN",52.349999999999994,32.56564,78.93690476190476,42.24729130952381,"Erick Fedde",17425,607200
2022,"Marco Gonzales","SEA",74.62589371980677,44.67516463768116,78.74820809248557,63.35304621965317,"Marco Gonzales",15467,594835
2022,"Jeffrey Springs","TBR",101.61967930029155,58.085821647230304,78.621270310192,67.59792140324963,"Jeffrey Springs",17677,605488
2022,"José Berríos","TOR",93.23786279683375,57.36209538258575,78.56100478468899,50.11054227272727,"Jose Berrios",14168,621244
2022,"Adrian Houser","MIL",78.16312500000001,41.274309875,78.43620689655171,44.91714856321839,"Adrian Houser",12718,605288
2023,"Cristian Javier","HOU",101.33929845422118,47.249872615933405,78.31293103448276,47.64604836206897,"Cristian Javier",17606,664299
2023,"Zach Davies","ARI",71.60443786982248,40.19670307692308,77.99757412398922,54.726615606469,"Zach Davies",13183,605200
2022,"James Kaprielian","OAK",74.63333333333334,39.20353477106227,77.98648648648648,53.3312468018018,"James Kaprielian",18331,621076
2023,"Tyler Glasnow","TBR",128.3221549636804,68.6983548062954,77.9,20,"Tyler Glasnow",14374,607192
2022,"Braxton Garrett","MIA",84.61960784313725,55.07489691876751,77.8354609929078,40.94187879432624,"Braxton Garrett",21844,666129
2022,"Mike Clevinger","SDP",99.84533715925394,56.29283637015782,77.82994652406416,43.511132513368985,"Mike Clevinger",12808,605182
2022,"Michael Kopech","CHW",119.8317998385795,54.456573131557704,77.6375,33.36352458333333,"Michael Kopech",17282,656629
2022,"Blake Snell","SDP",126.79815384615382,64.07895695384616,76.91101694915253,42.63434381355931,"Blake Snell",13543,605483
2023,"Jon Gray","TEX",82.36854043392505,47.689870601577915,76.76223021582734,53.87356089928058,"Jon Gray",14916,592351
