Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
"Jordan Montgomery","NYY",76.77389558232932,46.39484136546185,97.76829268292678,66.38414008130081,"Jordan Montgomery",16511,656756
"Germán Márquez","COL",76.36386913229018,45.089058691322904,73.81818181818181,40.21473939393938,"German Marquez",15038,608566
"Eli Morgan","CLE",76.22042360060514,53.23418518910741,128.53474025974026,63.66427909090909,"Eli Morgan",20203,669212
"Cole Irvin","OAK",74.96733128834354,50.215154263803676,80.34688427299704,51.48888207715133,"Cole Irvin",19244,608344
"Kyle Freeland","COL",73.4501291989664,59.45360041343668,66.47818930041153,51.28807810699588,"Kyle Freeland",16256,607536
"Patrick Corbin","WSN",70.51174999999999,48.164281225,74.36600000000001,62.1543292,"Patrick Corbin",9323,571578
"Framber Valdez","HOU",70.2328947368421,46.80544921052632,80.87512953367873,47.77357233160622,"Framber Valdez",17295,664285
"Zach Plesac","CLE",64.5427289048474,45.16784032315979,83.55867052023123,54.28387751445088,"Zach Plesac",19979,668676
"Kyle Hendricks","CHC",63.24624060150376,33.02676285714286,67.15796812749004,57.95738750996016,"Kyle Hendricks",12049,543294
"Wily Peralta","DET",59.287704918032794,31.481764672131145,,,"Wily Peralta",7738,503449
"Erick Fedde","WSN",6.421052631578945,51.19962210526315,87.54172661870503,45.97470338129497,"Erick Fedde",17425,607200
"Zach Davies","CHC",,,86.59025423728814,55.989422817796616,"Zach Davies",13183,605200
"Steven Matz","TOR",,,108.20725552050475,64.64314782334385,"Steven Matz",13361,571927
"Lance McCullers Jr.","HOU",,,82.39329896907216,38.38453309278351,"Lance McCullers Jr.",14120,621121
"Sean Manaea","OAK",,,94.80360824742269,52.83424698453609,"Sean Manaea",15873,640455
