"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z",""
"Canning, Griffin","656288","2021","93.5","2266","-9.3","-12.5","88.2","2639","-1.5","-35.3","89.1","1869","-17.9","-26.4","81.9","2325","7.6","-46.8",
"Cease, Dylan","656302","2021","96.7","2543","-4.4","-10.5","85.9","2880","6.9","-38.1","78.1","1641","-7.3","-29.2","79.9","2754","5.3","-61.7",
"Coonrod, Sam","656322","2021","98.5","2282","-9.7","-12.3","90.2","2514","3.5","-29.5","90.4","1487","-14.2","-31.6",,,,,
"Davidson, Tucker","656353","2021","93","2027","2.1","-14.9","86.8","2242","-3.7","-35.1","85.4","1619","10.9","-25.7","78.6","2481","-8.3","-53.3",
"Davis, Austin","656354","2021","93.6","2163","9.1","-16.7","81.8","2288","-8","-40.8","84.2","1925","15.6","-28.9","79.1","2220","-11.9","-52",
"Feyereisen, J.P.","656420","2021","93.1","2491","-5.4","-10.9","86.3","2772","5.6","-35.2","87.6","1592","-14.9","-33.1",,,,,
"Flaherty, Jack","656427","2021","93.6","2246","-4","-15.8","83.7","2401","7.4","-34.8","84.5","1626","-11.1","-31.2","76.2","2405","12.1","-60.1",
"Gilbert, Tyler","656457","2021","89.7","2166","8.1","-18.2",,,,,,,,,"75.5","2402","-6.5","-60.3",
"Gilbreath, Lucas","656458","2021","93.3","2424","0.2","-16.1","81.8","2439","-7.2","-42.6",,,,,,,,,
"Ginkel, Kevin","656464","2021","94.7","2387","-10.6","-14.9","83.8","2276","4.2","-40.8","84.8","2052","-15.3","-24.4",,,,,
"Hentges, Sam","656529","2021","94.6","2157","6.3","-15.7","86.1","2191","-3.4","-34.2","88.4","1669","10.6","-24.4","80.2","2502","-7.1","-57.5",
"Hoffman, Jeff","656546","2021","94.3","2467","-10.4","-12.6","82","2561","6.2","-44.4",,,,,"77.5","2490","9.3","-59.3",
"Holloway, Jordan","656548","2021","95.4","2184","-2.7","-12.8","85.4","2236","4.7","-38.4","90.4","1618","-11.6","-20.7","79.2","2382","5.9","-57.4",
"Houck, Tanner","656557","2021","94.5","2099","-6.3","-22.7","84.4","2551","13.6","-37.7",,,,,,,,,
"Jackson, Andre","656578","2021","92.3","2225","-9.1","-15","86.1","2103","1.8","-27.4","84.1","1713","-12.9","-30.9","76.2","1929","2","-64.2",
"Keller, Mitch","656605","2021","93.8","2354","-6.6","-15.3",,,,,"89.8","1647","-13.8","-25.3","78.5","2616","9.5","-59.3",
"Klobosits, Gabe","656620","2021","94.7","2183","-6.9","-13.7","87","2538","2.5","-32.4",,,,,,,,,
"Kopech, Michael","656629","2021","97.3","2585","-9.8","-10.5","84.1","2465","9.2","-39.3","89.7","1834","-14.6","-24.6","78.7","2485","9.7","-51.3",
"Lange, Alex","656638","2021","96.4","2342","-10.5","-13.7","89.2","2363","-4.1","-30.4","89","1707","-16.3","-29.6","84.6","2107","2.5","-45.6",
"Martin, Brett","656685","2021","93.6","2195","5.8","-16.1","87.6","2228","-2","-29.5",,,,,"82.4","2165","-0.3","-45.2",
"Martin, Corbin","656686","2021","94.1","2348","-6.4","-14.3","87.7","2336","5.1","-30.3","87.2","2008","-14.2","-31.9","82.3","2494","9.2","-46.4",
"Megill, Trevor","656730","2021","96.4","2425","-4.8","-13","86.2","2627","6.7","-38.7",,,,,"82.2","2765","8.5","-52",
"Megill, Tylor","656731","2021","94.6","2153","-9.4","-14.4","85.7","2127","2.3","-34.1","85.4","1496","-13.2","-28.9","79.7","2174","3.3","-51.8",
"Montgomery, Jordan","656756","2021","92.6","2284","7.4","-15.3",,,,,"82.5","1704","9.7","-25.5","80","2246","-0.9","-46.7",
"Nelson, Nick","656793","2021","96.4","2070","-7.9","-11.9","85.4","2570","9.3","-38.5","89.2","1819","-16","-27.7","79.9","2518","8.1","-57.1",
"Newcomb, Sean","656794","2021","95.6","2295","5.1","-13.7",,,,,"89.8","1615","9.5","-22.5","80","2881","-10.5","-59.7",
"Overton, Connor","656818","2021","92.3","2242","-10.1","-15","83","2444","1.3","-37.7","84.9","1891","-16.5","-29.2","78.4","2237","10","-60.3",
"Peterson, David","656849","2021","92.7","2069","10.4","-17","82.1","2232","-5.3","-40.8","83.9","1922","17.6","-30.9","73.5","1995","-5.1","-58.2",
"Rasmussen, Drew","656876","2021","97.1","2437","-4.4","-11.6","86.5","2658","3.2","-39.7","90.2","1781","-13.4","-21.7","80.4","2627","5.2","-54.5",
"Reid-Foley, Sean","656887","2021","93.7","2139","-5","-13.8","84","2220","5.8","-40.5","86.7","1403","-10","-28.8",,,,,
"Scott, Tanner","656945","2021","96.8","2582","4.4","-13.7","88.5","2666","-5.7","-36.5",,,,,,,,,
"Sheffield, Justus","656954","2021","93.3","2060","7.1","-19.4","81.7","2570","-7.5","-43.5","85.8","1760","12.6","-33.6",,,,,
"Solomon, Peter","656981","2021","92.1","2178","-7.9","-13.9","83.5","2368","8","-37.1","82","1969","-14.1","-30.4","78.4","1971","2.6","-61.1",
"Steele, Justin","657006","2021","93.2","2494","2.1","-16","83","2765","-12.7","-42.5","87.5","1642","10.5","-25.3","79.1","2603","-12.1","-52.8",
"Swanson, Erik","657024","2021","94.7","2303","-8.5","-11.6","86.2","2348","6.7","-31.4",,,,,,,,,
"Taylor, Josh","657031","2021","94.6","2246","3.7","-14.7","87.2","2278","-5.2","-31.6",,,,,"80.2","2142","-6.5","-46.1",
"Thompson, Ryan","657044","2021","92.7","2230","-15.5","-24.6","78.2","2129","13.8","-34.6","81.5","910","-8.1","-44.7",,,,,
"Toussaint, Touki","657053","2021","93.7","2179","-5.3","-18",,,,,,,,,"76.2","2348","10.6","-59.6",
"Watkins, Spenser","657093","2021","90.8","2239","-0.3","-15.4",,,,,"85.6","1529","-10.5","-26.1","79.1","2327","0.5","-51.7",
"Webb, Jacob","657097","2021","94.1","2415","-12.2","-14.6",,,,,"83.6","2260","-16.8","-31.1","81.2","2599","6","-54.4",
"Wright, Kyle","657140","2021","93.6","2383","-8.7","-18.1","87.1","2396","2.6","-30.4","86.8","1708","-14.5","-30.2","80.6","2619","13.4","-51.9",
"Yamamoto, Jordan","657141","2021","91.2","2311","-5.9","-14.3","79.4","2762","15.3","-45.1","85","2168","-12.2","-27.5","74.2","2595","14.1","-62.6",
"Jewell, Jake","657228","2021","94.6","2082","-6.3","-16.8","86.2","2155","1.9","-38.5","89","1497","-12","-32",,,,,
"Merryweather, Julian","657240","2021","97.5","2262","-7.7","-11.4","88.4","2201","2.2","-33.8","81.8","1406","-10.5","-30","80.1","2428","8.5","-60.4",
"Otto Jr., Glenn","657248","2021","92.6","2186","-6.5","-16.1",,,,,"87.1","1986","-16.7","-26.8","80.6","2396","6.8","-52.8",
"Webb, Logan","657277","2021","93.2","2133","-8.5","-20.4","82.4","2688","10.8","-41.9","86.2","1475","-8.9","-41.6",,,,,
"Schmidt, Clarke","657376","2021","93.1","2461","-4.1","-17.2","88","2618","-1.8","-26.7","88.4","2212","-6.4","-31.2","82","2749","14.7","-52.2",
"Baumann, Mike","657508","2021","93.6","2093","-3.3","-13.3","89.5","2294","3.6","-29","85.9","1761","-12.2","-25","81.3","2109","4.5","-55.3",
"Hill, Tim","657612","2021","92","2255","18.9","-28.3","84.7","2125","2.6","-34.5","86.1","1834","14.7","-38",,,,,
"Ryan, Joe","657746","2021","91.2","2175","-10.9","-18.3","80.7","2209","4","-40.2","83.3","2071","-18","-31.1","72.7","2374","11.8","-62.2",
"Garcia, Edgar","658305","2021","93.7","2081","-4.6","-15.1","86.4","2235","5.8","-33.3","88","1676","-11.8","-28.6",,,,,
"Medina, Adonis","658431","2021","92.6","2328","-6.1","-17.9","85.7","2348","4.2","-32.5","86.4","1722","-16.6","-35.5","81.3","2501","14.8","-37",
"Fernandez, Junior","658551","2021","97.7","2174","-11.1","-14.3","88.5","2035","-3.3","-27.8","89.6","1972","-13","-27.8",,,,,
"Lamet, Dinelson","659275","2021","95.5","2428","-5.3","-13.6","86.5","2455","0.4","-31.9","91.4","1950","-12.2","-22.2",,,,,
"Ohtani, Shohei","660271","2021","95.6","2218","-3.8","-14.6","80.6","2273","7.6","-44.8",,,,,"74.5","2370","12.1","-63.9",
"Yang, Hyeon-Jong","660365","2021","89.9","2168","1.6","-16.1","80.5","2389","-4.9","-43","81.4","1695","13.7","-31.3","72.1","2339","-4.1","-67.6",
"Diaz, Yennsy","660546","2021","95.4","1996","-8.1","-15.7","85.3","2216","2.9","-35.3","89.9","1611","-14.4","-26.3",,,,,
"Paredes, Enoli","660600","2021","95.3","2390","-0.5","-15.1","84.2","2952","12.4","-38.3",,,,,"80.1","2984","13.7","-55.2",
"Ynoa, Huascar","660623","2021","96.5","2147","-8.2","-12.7","85.1","2425","2.4","-41.7","88.5","1785","-14.2","-25.3",,,,,
"Suarez, Jose","660761","2021","92.9","2191","9.1","-16.9",,,,,"82.3","1593","7.8","-31.6","78.3","2758","-10.5","-51.6",
"Graterol, Brusdar","660813","2021","99.5","2115","-7.7","-14.8","88.1","2521","9.2","-30.8",,,,,,,,,
"De Los Santos, Enyel","660853","2021","94.8","2194","-13.1","-17","82.2","2035","1.5","-40.6","87.4","1842","-16.1","-26.7",,,,,
"Alcala, Jorge","660896","2021","97.4","2346","-10.8","-12.9","89.7","2435","3","-29.2","90","2303","-17.8","-24.9",,,,,
"Perez, Francisco","660906","2021","93","2214","7.3","-12.8","83","2473","-3.6","-41.3","86.3","1696","10.8","-23.3",,,,,
"Lopez, Yoan","661255","2021","95.7","2204","-5.2","-13.6","86.5","2546","6.2","-37.5",,,,,,,,,
"Gutierrez, Vladimir","661269","2021","93.2","2167","-10.3","-16.6","83.3","2448","9.5","-37.4","81.4","1660","-12.8","-32","77.6","2571","15","-53.2",
"Ortega, Oliver","661383","2021","96.6","2328","-3.9","-13.8",,,,,,,,,"82.7","2117","4.1","-46.8",
"Clase, Emmanuel","661403","2021","100.6","2546","-4.2","-13.8","91.9","2550","6.2","-31.4",,,,,,,,,
"Llovera, Mauricio","661440","2021","94.4","1980","-7.3","-17.3","81.9","2357","16.7","-41.1","87.1","1841","-14.9","-28.1",,,,,
"Gil, Luis","661563","2021","96.1","2445","-4.5","-11.9","85.2","2471","8.1","-35.4","92.3","1824","-15.6","-24.1",,,,,
"Burrows, Beau","663366","2021","93.1","2194","-6.8","-13.3","84.8","2229","2.6","-33.8","85.2","1981","-12.1","-24.4","75.2","2320","2.1","-60.5",
"Feltner, Ryan","663372","2021","92.4","2246","-5.3","-19.3","81.3","2504","7.4","-43.5","82.4","1553","-6.3","-35.4","75.4","2400","11.3","-56.8",
"Waddell, Brandon","663399","2021","92.5","2355","3.2","-15.5","85.8","2496","-5","-34.4","86","1446","13.3","-31.1",,,,,
"Thornton, Trent","663423","2021","93.9","2331","-3.3","-14","84.6","2892","8.2","-38.2","84.3","1540","-12.2","-29.2","80.2","3046","9.1","-56.7",
"Rainey, Tanner","663432","2021","96.3","2400","-8.4","-11.5","87.7","2340","3.6","-34.8","87.6","802","2.6","-33.8",,,,,
"Bubic, Kris","663460","2021","90.9","2073","6.2","-17.7",,,,,"80","1604","12.6","-35","78.5","2619","-8.3","-59.5",
"Allard, Kolby","663465","2021","91.5","2121","7.9","-15.7",,,,,"83.6","1606","14.1","-29.2","75.9","1896","-4.5","-56.6",
"McKenzie, Triston","663474","2021","92.1","2256","-3.4","-12.5","86.4","2162","4.9","-31.4","86","1622","-10.3","-21.8","79.3","2147","6.1","-52.2",
"Allen, Logan","663531","2021","92.7","1993","6.9","-16.3","81.6","2539","-13.1","-41.8","83.3","1515","14","-31.1","76.8","2705","-9.5","-60.1",
"Mize, Casey","663554","2021","93.9","2151","-9.2","-15.4","85.9","2239","3.8","-34.9",,,,,"81.3","2197","9.7","-51.5",
"McClanahan, Shane","663556","2021","96.4","2256","10.5","-13.3","89.1","2400","-3.8","-32.3","89.2","1725","15.6","-23.4","82.5","2653","-6","-51",
"Moran, Jovani","663558","2021","92.5","2150","2.7","-16","79.3","2347","-5","-44.5","82","1783","13.2","-32",,,,,
"Falter, Bailey","663559","2021","91.6","1800","4.6","-15.3","84.5","1873","-3.9","-32.7","83.7","1659","8.8","-24","76.1","1908","-4.6","-52.8",
"Lambert, Peter","663567","2021","93.6","2179","-5.1","-17","84.2","2316","6.8","-38.1","84.8","1345","-9.4","-32.9","76.7","2074","5.1","-60.5",
"Santillan, Tony","663574","2021","95","2109","-10.5","-15.8","85.1","2353","11.9","-40.7","88.8","1476","-10.8","-25.9",,,,,
"Neidert, Nick","663734","2021","91.7","2071","-14","-20.6","84.5","2138","2.3","-32","83.3","1637","-15.7","-31.7","74.4","2031","10","-62",
"Lynch IV, Daniel","663738","2021","93.8","2112","7.3","-15.8","85.2","2056","-0.2","-36.4","84.7","1720","12.8","-26","77.4","1874","-0.1","-49.2",
"Knehr, Reiss","663753","2021","93.5","2395","-6.2","-15.4","81.8","2233","2.9","-45.2","88.9","1847","-16.2","-29.9",,,,,
"Woodford, Jake","663765","2021","92.1","2217","-4.7","-17.7","84","2377","3.5","-39.3","85.1","1528","-12.4","-28.1","76.3","2483","10","-64.6",
"Evans, Demarcus","663770","2021","91","2467","-1.9","-10.9",,,,,,,,,"79.6","2262","3.3","-44.5",
"Sandoval, Patrick","663776","2021","93.2","2080","2.8","-15","85.4","2618","-7.1","-37","84.6","1592","13.1","-28.2","78.4","2799","-6.2","-58.1",
"Kowar, Jackson","663804","2021","95.6","2193","-12.5","-15","83.1","2300","4.6","-42.4","86.2","2413","-16.4","-33.9","78.2","2080","5.1","-55.6",
"Hicks, Jordan","663855","2021","100.5","2041","-7.3","-9.5","84.2","2333","8.2","-38.8","90.2","964","-9.1","-32.2",,,,,
"Pearson, Nate","663878","2021","97.8","2201","-7.7","-11.1","87","2585","6","-36.1","83.3","1713","-13.4","-28.5","74.4","2308","11.2","-62.6",
"Singer, Brady","663903","2021","92.7","2264","-4.7","-15.2","85.4","2393","3.8","-36.6","88","2015","-14.8","-22.7",,,,,
"Paddack, Chris","663978","2021","94.8","2210","-9.5","-13.1",,,,,"85.2","1795","-13.8","-30.3","78.7","2185","6.5","-61.6",
"Stephan, Trevor","663986","2021","96.2","2378","-9","-15","83.8","2553","10.4","-37.3",,,,,,,,,
"Lovelady, Richard","663992","2021","93.2","2491","6.4","-17.6","86.6","2628","-7.1","-35.7",,,,,,,,,
"Lakins Sr., Travis","664042","2021","93.4","2237","-4.6","-15.6",,,,,"87.9","1626","-14.2","-32.5","80.7","2721","12.2","-54.1",
"Eshelman, Thomas","664045","2021","85.7","1821","-3.5","-25.3","77.8","1907","7.1","-41.5","81.3","1474","-13.9","-33.4","76.2","1835","7.2","-53.1",
"Stashak, Cody","664054","2021","90.6","2210","-5.6","-13","82.5","2204","6.5","-33.7","85.7","1435","-7.9","-22.5",,,,,
"Gonsolin, Tony","664062","2021","93.8","2379","-6.8","-13.4","86.8","2600","4.7","-32.5",,,,,"80.2","2612","5.8","-56.2",
"Ponce, Cody","664074","2021","93.2","2257","-8.3","-16","84","2311","4.1","-38.3","86.2","1888","-13.2","-25.8","79.5","2165","6.5","-54",
"Cleavinger, Garrett","664076","2021","95.8","2290","7.1","-16","82.9","2713","-10.8","-43.8",,,,,,,,,
"Poppen, Sean","664092","2021",,,,,"84","2195","15.1","-39.6","86.2","1984","-18.4","-32.3",,,,,
"Effross, Scott","664123","2021","90.7","2269","-16.8","-29.1","80.5","2481","12.1","-40.4","83","2022","-14.2","-47.3",,,,,
"Fairbanks, Pete","664126","2021","97.1","2397","1.2","-11.1","85.7","2378","2.4","-42.3","94.1","1791","-10.9","-21.9",,,,,
"Hartlieb, Geoff","664129","2021","93.7","2370","-5.5","-23.7","84.8","2507","12","-41.9",,,,,,,,,
"Gibaut, Ian","664139","2021","94.9","2228","-5.7","-12.8","88.8","2504","5","-30.9","84.2","1875","-13.7","-29.3",,,,,
"Brubaker, JT","664141","2021","92.9","2178","-8.7","-15.8","87.2","2648","1.3","-32.9","87.2","1885","-15.6","-28.2","79.5","2801","6.4","-51.9",
"Bergen, Travis","664157","2021","92.3","2341","13.3","-16",,,,,,,,,"81.9","2555","-8.1","-41",
"Lucchesi, Joey","664192","2021",,,,,,,,,"81.5","1243","12.4","-32.8","78.7","2081","-2.9","-45.5",
"Clarke, Taylor","664199","2021","95.5","2204","-6.1","-12.6","87.6","2156","2.1","-31.5","89.3","1632","-14.6","-28.4","78.7","2510","7.1","-55.2",
"Maton III, Phil","664208","2021","91.5","2487","0.8","-19.1","82.3","2877","15","-47.5",,,,,"76","2991","19","-57.6",
"Valdez, Framber","664285","2021","92.1","2183","5","-22",,,,,"87.5","1498","13","-34.4","77.9","2873","-13.5","-61",
"Javier, Cristian","664299","2021","93.5","2341","-7.9","-13.4","81","2539","10.7","-37.1","86.6","1981","-15.6","-27.4","75.9","2928","13.9","-58.2",
"Yajure, Miguel","664337","2021","90.5","2375","-4.8","-15.9","79.2","2388","14.3","-43.3","87.7","1603","-12.8","-32.2","78.1","2643","9","-61.7",
"Urquidy, Jose","664353","2021","92.5","2213","-7.8","-12.7",,,,,"84.4","1913","-15.5","-27.7","77.2","2571","8.8","-59.6",
"Meisinger, Ryan","664682","2021","91.7","2237","-5.3","-14.6","83.8","2274","3.1","-36.7","84.5","1519","-15.2","-31.7",,,,,
"Newsome, Ljay","664714","2021","92.6","2036","-8.2","-16.1",,,,,"86.1","1798","-13.8","-35.4","77.6","2218","7.4","-46.2",
"Cousins, Jake","664776","2021",,,,,"83.3","2584","8.5","-39.2","88.2","1859","-16.9","-32.7",,,,,
"Helsley, Ryan","664854","2021","97.4","2526","-3.3","-11.7","88.2","2451","3.3","-29.7","87.4","1545","-11.8","-26.9","79","2503","3.3","-55.3",
"Lawrence, Justin","664875","2021",,,,,,,,,,,,,,,,,
"Keller, Kyle","664918","2021","94.5","2308","-7.2","-13.2",,,,,,,,,"81.4","2515","7.1","-46.9",
"Misiewicz, Anthony","664948","2021","94.3","2216","8.6","-14.7",,,,,,,,,"80.7","2862","-11.1","-50.4",
"Kremer, Dean","665152","2021","92.6","2308","-9.4","-14.4",,,,,"82.9","1588","-15","-34.7","75.5","2389","8.6","-64.9",
"Garcia, Deivi","665620","2021","92.2","2216","-9.7","-13.3","83.2","2468","5.8","-33.7","82.5","1977","-15.4","-28","75.8","2667","6.3","-64.3",
"Castro, Kervin","665645","2021","94.5","2275","-0.8","-14",,,,,,,,,"80.1","1969","2","-55.7",
"Sanmartin, Reiver","665665","2021","89.5","2234","13.6","-22","80.2","2389","-4.8","-40.5","84.2","1950","16.5","-38.8",,,,,
"Santos, Antonio","665733","2021","95.5","2157","-11.1","-17.2","83.9","1987","-1.1","-32.9","86","1677","-13.9","-29.3","79.8","2172","3.1","-48.3",
"Rosso, Ramon","665759","2021","94.7","2472","-4.5","-17.4","85.4","2498","7.5","-35.7","89.5","2119","-16","-26.7",,,,,
"Cabrera, Edward","665795","2021","96.7","2266","-10.4","-13.7","87.7","2382","4.3","-34.2","92.1","1783","-15.8","-23.6","83.5","2381","6.3","-45.5",
"Oviedo, Luis","665854","2021","94.3","2200","-7.6","-14.1","81.7","2174","5.5","-42.2","85.3","1969","-14.1","-26.7","75.1","2298","9.8","-65.2",
"Anderson, Ian","666120","2021","94.6","2045","-5.4","-13.2",,,,,"88.1","1646","-10.1","-23.1","80.7","1895","1","-48.4",
"Garrett, Braxton","666129","2021","90.3","2186","4.6","-15.5","82.7","2335","-5.6","-43.8","84.5","1622","16","-29.1","76.8","2165","-8","-57.6",
"Manning, Matt","666159","2021","93.5","2054","-2.8","-14.5","85.4","2144","6","-35.2","87.5","1394","-11.7","-25.7","78.6","2295","8.3","-55.4",
"Thompson, Mason","666168","2021","95.6","2234","-7.8","-17.6","83.8","2209","4.7","-41.2","86.8","1992","-16.2","-28.8",,,,,
"Luzardo, Jesus","666200","2021","95.7","2261","13.3","-14.9","83.4","2231","0.2","-37.1","86.6","1878","16.3","-29",,,,,
"Manoah, Alek","666201","2021","93.7","2349","-5","-15.4","81.1","2246","15.5","-41.8","86.8","1976","-13.1","-29.3",,,,,
"Muller, Kyle","666205","2021","93.4","2435","6.5","-16.2","86.6","2093","-0.7","-32.5","88","1688","14.6","-29.9","80.4","2421","-5.9","-52.1",
"Doval, Camilo","666808","2021","97.8","2550","-12.1","-14.2","86.5","2511","6.8","-38.3",,,,,,,,,
"Nance, Tommy","667297","2021","95.2","2280","-8.6","-18.5","87.2","2619","2.7","-41.4",,,,,"85.4","2822","9.1","-51",
"Sanchez, Miguel","667376","2021","94.2","2234","-6.1","-16.4","81.9","2276","4.1","-43.1","89.1","1613","-10.8","-31.9",,,,,
"King, John","667463","2021",,,,,"79.9","2446","-3.9","-47.5","78.4","1549","13.6","-37.8",,,,,
"Dugger, Robert","667498","2021","91.4","2102","-8.4","-17.7","80.7","2218","4","-43.6","82.6","1471","-13.1","-32.1","74.8","2244","9.5","-56.6",
"Tyler, Kyle","667725","2021","91","2140","1.8","-17.1","83.8","2219","2.4","-38.8","86","1613","-9.5","-22.2","76.4","2222","3.1","-55.5",
"Plesac, Zach","668676","2021","92.8","2047","-8.7","-14.7","86.7","2033","0.1","-27.5","85.7","1599","-12.3","-26.7","80.2","1884","1.7","-48.7",
"Gallen, Zac","668678","2021","93.4","2325","-3.4","-14.1","86.1","2467","7.7","-37","86.1","1476","-12.7","-33.4","79.7","2437","8.3","-55.1",
"Scrubb, Andre","668687","2021",,,,,"87.6","2391","5.8","-32",,,,,"80.1","2749","4.7","-62.1",
"Kranick, Max","668820","2021","94.2","2136","-6.6","-13.6","87.9","2096","4.5","-27.8","87.4","1827","-10.7","-21.8","79.5","2254","7.5","-47.8",
"Romero, JoJo","668941","2021","94.7","2158","8.8","-16.4","83.1","2541","-5.1","-42.2","85.7","1573","16.2","-32.6",,,,,
"Crouse, Hans","668968","2021","92.7","2231","-9.7","-18.7","85.2","2226","-0.5","-31.1","84.8","1805","-15","-29.8",,,,,
"Wilson, Bryse","669060","2021","93","2024","-6.5","-17.1","86","2204","4.1","-32","86.8","1576","-13.3","-30.5","77","2322","16.7","-49.6",
"Sceroler, Mac","669135","2021","92.7","2487","-5.7","-13.1","83.4","2443","4.5","-39.3",,,,,"78.3","2885","10.1","-60.6",
"Zimmermann, Bruce","669145","2021","91.4","2325","6.3","-16.5","86.1","2464","1.3","-33.9","84.4","1979","16.4","-28.2","81.9","2582","-1.1","-46.9",
"May, Dustin","669160","2021","98.3","2306","-10.2","-12.7",,,,,,,,,"86.6","3176","15.2","-41.3",
"Heasley, Jonathan","669169","2021","93.5","2261","-9.1","-13.8","91.6","1949","-5.7","-20.2","85.1","1938","-12.7","-27.2","80","2624","5.6","-55",
"Burnes, Corbin","669203","2021","96.4","2607","-5.7","-15.4","88","2861","7.6","-35.3","90.7","1873","-13.9","-25.9","81.2","2867","11.3","-49.3",
"Akin, Keegan","669211","2021","92","2337","10.7","-14.4","84.1","2217","-4.5","-35.5","81.9","1937","15.3","-32.6","76.4","2412","-6.2","-51.2",
"Morgan, Eli","669212","2021","90.5","2222","-11.4","-16.1","85.2","2327","2.9","-30.4","74.8","2012","-14.7","-43.8","76.3","2328","7.8","-55.6",
"Menez, Conner","669214","2021","90.9","2164","5.6","-15.9","82.7","2107","-5.8","-38.7",,,,,"77.9","2151","-8","-48.8",
"Campbell, Paul","669294","2021","92.7","2475","-5.2","-14.3","87.6","2440","2.5","-26.3","86","1570","-14.7","-32.5","79","2854","11.8","-54.1",
"Gilbert, Logan","669302","2021","95.3","2200","-5.4","-12.1","83.4","2276","6.5","-35","79.9","1555","-14.2","-37.8","75","2117","5.1","-56.7",
"Wells, Tyler","669330","2021","95.2","2429","-4.3","-10.5",,,,,"88.4","1984","-13.5","-20.7","78.8","2653","7.3","-52.1",
"Baz, Shane","669358","2021","97","2415","-9.7","-11.2","86.7","2422","3.1","-34.1","88.7","1981","-17.8","-26","82.5","2689","8.3","-55.2",
"Skubal, Tarik","669373","2021","94.3","2192","8.3","-14.8","86.5","2060","-1.8","-32.6","82.1","1441","8.7","-28.5","73.8","2222","-7.9","-63.9",
"Coleman, Dylan","669395","2021","98.2","2520","-6.6","-12.6","84.7","2500","9","-36.2",,,,,,,,,
"Lambert, Jimmy","669424","2021","93.6","2054","-6.5","-13.8","82","2447","6.4","-42.4","84.9","1759","-15.5","-30.8","75.6","2148","5.9","-64.8",
"Rogers, Trevor","669432","2021","94.5","2375","11.1","-16","81.8","2115","-1.7","-37.5","84.8","1323","13.4","-36.6",,,,,
"Bieber, Shane","669456","2021","92.8","2333","-9.7","-13.3","85.7","2683","2.1","-35.6","87.4","1740","-15.1","-27.5","83.1","2386","8.6","-52.8",
"Nelson, Kyle","669459","2021","92.9","2148","5.9","-16",,,,,,,,,,,,,
"Barlow, Joe","669618","2021","94.4","2256","-5.2","-11.4","85.9","2179","2.8","-28.8",,,,,"79.1","2212","1.3","-52.7",
"Bender, Anthony","669622","2021","97.5","2521","-6.5","-15.4","84.6","2486","9.1","-40.6","90.1","1627","-14.3","-37",,,,,
"Long, Sam","669674","2021","92.6","2104","7.1","-14","86.7","2093","-1.9","-26.8","80.4","1895","10.5","-28.1","74.9","2459","0.2","-63",
"Rodriguez, Chris","669735","2021","94.6","2205","-11.3","-16.6","89.9","2397","3.2","-27.6","89.8","1552","-14.9","-27","84.6","2445","8.1","-49.5",
"Snead, Kirby","669912","2021","93.6","2542","14.8","-18.3","80.4","2755","-9.6","-42.3","85.9","1831","17.9","-37.6",,,,,
"Alexy, A.J.","669935","2021","93.3","2218","-4.2","-12.3","80.9","2382","7.7","-43.4","85.8","1487","-7.9","-25.3","76.2","2469","9.6","-65.2",
"White, Mitch","669952","2021","94.4","2334","-3","-13.8","87.7","2427","3.1","-30.1","87.3","1395","-15.3","-30","82","2358","4.8","-54.8",
"Baragar, Caleb","670056","2021","92.8","2363","8.6","-11.7","82.9","2680","-7.5","-39.7",,,,,"78.1","2657","-6.9","-53.1",
"Mills, Wyatt","670090","2021","93","1955","-15.8","-23","82.5","2501","6.1","-37.7",,,,,,,,,
"Bednar, David","670280","2021","96.7","2290","-8.9","-12.7",,,,,,,,,"77.5","2458","9.2","-58",
"Hammer, JD","670456","2021","94","2298","-11.2","-14.5","82.9","2592","4.2","-43.1",,,,,"75.7","2311","8.8","-61.3",
"Rodriguez, Nivaldo","670550","2021","92.3","1921","-8.2","-16.7","87.7","2245","1","-27.7","83.5","1461","-14.2","-35.8","81.3","2453","5.2","-45.2",
"McCaughan, Darren","670766","2021","87.7","1977","-4.8","-22.7","78.7","2244","6","-44.2","80.7","1314","-10.5","-38.8",,,,,
"Oviedo, Johan","670912","2021","94.9","2257","-6.2","-18.8","85.7","2539","6","-35.4","86.4","1847","-14.5","-28.1","76.7","2424","10.8","-53.2",
"Richards, Trevor","670950","2021","92.7","2184","-5.8","-12.3",,,,,"84.5","2471","-14.9","-28.3","84.2","2051","3.5","-37.7",
"Uceta, Edwin","670955","2021","92.6","2402","-6.2","-15.1",,,,,"87.6","2026","-17.5","-28.5","80","2418","3.1","-47.7",
"Ramirez, Yohan","670990","2021","95.4","2310","-12.7","-18",,,,,,,,,,,,,
"Foley, Jason","671345","2021","96.1","2216","-10.3","-15.7","85.8","2344","3.7","-37","90","1640","-15.4","-28.4",,,,,
"Bolanos, Ronald","671790","2021","95.2","2228","-8.9","-15.5","86.3","2574","5","-33.2","90.2","1619","-11.2","-21.4","79.8","2647","11.9","-43.6",
