"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z",""
"Anderson, Brett","474463","2021","88.6","1898","7.3","-21.4","81.7","2324","-4","-46.3","82.2","1431","13.8","-32.9","76","2328","-5.9","-59.8",
"Phelps, David","475479","2021","93.6","2373","-9.8","-13.9",,,,,"86.6","2231","-18.7","-28.1","81.8","2559","3.9","-48.7",
"Stock, Robert","476594","2021","96.2","2033","-11.4","-16.5","82.4","2528","10.6","-39.4","82.9","1639","-15.1","-31.9","77.8","2540","11","-56.5",
"Luetge, Lucas","476595","2021","90.3","2556","1.2","-22.6","81.3","2788","-9.1","-43",,,,,"74.5","2658","-12.4","-65.4",
"Kershaw, Clayton","477132","2021","90.6","2506","-0.5","-14","87.1","2654","-4.7","-27.9","87","2163","13","-20.5","74.2","2535","-4.8","-65.3",
"Buchter, Ryan","488748","2021","90.5","2217","9.5","-15.7",,,,,,,,,"76.2","1971","-16.3","-47.5",
"Hunter, Tommy","488984","2021","93.3","2449","-5.8","-13.8",,,,,,,,,"83.2","2837","11.9","-44.3",
"Miley, Wade","489119","2021","89.9","2239","2.8","-17.1","79.2","2310","-11.7","-39.9","81.9","1807","14.8","-33.9","74.7","2391","-10.6","-57.8",
"Romo, Sergio","489265","2021","85.6","2234","-13.4","-25.3","77","2815","13.7","-38.3","80.3","2101","-20.4","-38.3",,,,,
"Stammen, Craig","489334","2021","91.7","2276","-5.8","-18.2",,,,,"86.3","1951","-14","-24.4","80.4","2349","8.1","-53.6",
"Valdez, Cesar","491624","2021","85.3","2130","-14.7","-27.7","76.8","2351","7.7","-50.2","77.9","1771","-9.2","-50.8",,,,,
"Ottavino, Adam","493603","2021","95.5","2438","-5.2","-15.7",,,,,"88.4","2013","-15.5","-31.8","77.3","2803","16.6","-56.8",
"Guerra, Deolis","500610","2021","90.7","2298","-12.1","-16.2","84.1","2306","2.9","-30.7","81.7","1497","-13.1","-34.3","77.1","2165","9.7","-60.7",
"Quintana, Jose","500779","2021","91.5","2041","3.6","-16.1",,,,,"86.7","1289","10.9","-28.2","78.5","2262","-7.7","-52.8",
"Pineda, Michael","501381","2021","90.6","1946","-6.5","-19","81.2","1963","0.5","-40.9","85.5","1719","-16.1","-29.3",,,,,
"Avilan, Luis","501593","2021",,,,,,,,,"83.5","2113","14.5","-35.3","75.7","2235","-13.3","-52.7",
"Alvarez, Jose","501625","2021","91.3","2302","10.6","-17.2","81.4","2238","-5","-36.7","81.2","1541","14.4","-37.2",,,,,
"Harris, Will","501789","2021","90.5","2373","-2","-16.1",,,,,,,,,"79.7","2562","11.8","-57.4",
"Smith, Joe","501925","2021","87.4","1995","-16.7","-30.1","77.4","2192","14.8","-35.5","77.4","1600","-15.2","-52.5",,,,,
"Minor, Mike","501985","2021","90.9","2544","1.9","-18.2","85.6","2723","-5.3","-35.1","85.2","2237","16.8","-26.1","80.4","2493","-7","-54.7",
"Archer, Chris","502042","2021","92","2120","-5.9","-13.4","87.2","2432","5.4","-32.8","85.6","1868","-13.9","-27","83.9","2275","5.6","-35.4",
"Gibson, Kyle","502043","2021","92.8","2292","-5.6","-15.5","83.5","2513","5.6","-40.2","84.8","1641","-14.5","-33.9","79.4","2435","7.2","-51.7",
"Robertson, David","502085","2021","91.8","2626","-8.6","-13.8","81.8","2621","12.7","-42.9",,,,,"84.2","2637","6.6","-49.7",
"Britton, Zack","502154","2021",,,,,"80.2","2489","-10.5","-46.2",,,,,,,,,
"Cobb, Alex","502171","2021","93.2","2116","-10.6","-14.7",,,,,,,,,"83","2569","4.8","-49.9",
"Espino, Paolo","502179","2021","89","2216","-3.5","-15.4","79.5","2571","9.8","-37","83.7","1372","-12","-34.1","71.1","2984","12.9","-74",
"Boxberger, Brad","502202","2021","93.5","2383","-6.1","-14.1","88","2449","6.3","-28.5","82.5","1303","-12.2","-35.3",,,,,
"Cahill, Trevor","502239","2021","90.4","2232","-9.6","-17.6",,,,,"82.3","1525","-13.8","-39.5","78.6","3022","10.1","-55.9",
"Santiago, Hector","502327","2021","90.9","2044","12","-17.8","82.3","2085","-3.1","-36.4","81.4","1904","15.6","-32.6","75.8","2292","-5.5","-55.5",
"Miller, Justin","502522","2021","92.8","2296","-3.6","-15.7","82.9","2560","9.3","-39.8",,,,,,,,,
"Petricka, Jake","502593","2021",,,,,"85","1967","-1.3","-35.8","86.8","1792","-14.4","-34.3",,,,,
"Anderson, Chase","502624","2021","91.5","2120","-6.2","-15","83.9","2164","4.3","-35.9","81.9","2162","-16.5","-26.5","76.9","2034","5.8","-61.2",
"Holland, Derek","502706","2021","92.8","2296","11.9","-16.7",,,,,"85","2079","12.3","-23.5","81.4","2088","0.2","-37.7",
"Peacock, Brad","502748","2021",,,,,,,,,,,,,,,,,
"O'Day, Darren","503285","2021","85.5","2374","-12.7","-28.1","78.6","2292","7.9","-43.1",,,,,,,,,
"Peralta, Wily","503449","2021","93.6","1875","-6.9","-15.4","82.5","2178","1.5","-39.3",,,,,,,,,
"Dolis, Rafael","503569","2021","94.3","2298","-3.9","-10.3","86.4","2445","7.3","-33.5",,,,,,,,,
"Darvish, Yu","506433","2021","94.5","2513","-6.3","-11.8","86.2","2792","5.2","-35.6",,,,,"75.3","2716","9.3","-63",
"Leon, Sandy","506702","2021",,,,,,,,,,,,,,,,,
"Colome, Alex","517008","2021","93.7","2101","-2.3","-13",,,,,,,,,,,,,
"Alexander, Scott","518397","2021",,,,,"84.3","2449","-3.9","-42.6","86.2","1608","13.6","-32",,,,,
"Brasier, Ryan","518489","2021","95.1","2135","-6.3","-14.5","86","2330","7.7","-36",,,,,"77.2","2425","11.7","-54.8",
"Bumgarner, Madison","518516","2021","90.4","2314","8.5","-18.2",,,,,"83.8","1434","12.8","-32","77.8","2463","-10.1","-48.3",
"Cishek, Steve","518553","2021","89.7","2385","-11","-23.2","77.5","2376","16.5","-50","82.3","1720","-17.2","-41.1",,,,,
"Diekman, Jake","518617","2021","95.4","2223","14.3","-16.7",,,,,"87.2","1680","15.5","-30.3",,,,,
"Duffy, Danny","518633","2021","93.7","2273","5.2","-11.9","83.4","2501","-6.4","-42.6","85.2","2293","15.4","-25.1","77.3","2483","-7.4","-62.1",
"Harvey, Matt","518774","2021","93.4","2157","-12.3","-17","86.9","2370","1.6","-29.8","85.3","1697","-14.5","-26.4","79.9","2489","11.9","-49.8",
"Holland, Greg","518813","2021","92.8","2236","-0.2","-14.2","85.7","2089","5","-35.8",,,,,"77.4","2291","4.5","-53.6",
"Jones, Nate","518858","2021","95.5","2407","-6.4","-12.8","87.2","2265","1.6","-33.4","89.4","2057","-13","-21.5",,,,,
"Kelly, Merrill","518876","2021","91.7","2359","-7.2","-16.8",,,,,"87.2","1969","-15.3","-30.3","81.3","2564","9.1","-51.3",
"Kimbrel, Craig","518886","2021","96.5","2301","-10.3","-14.8",,,,,,,,,"86.1","2558","10.4","-42.6",
"McFarland, T.J.","519008","2021",,,,,"79.5","2295","-5.6","-45.8","82.1","1630","15.5","-38.6",,,,,
"Moore, Matt","519043","2021","92.4","2278","12.6","-16.9",,,,,"82.5","1840","16.7","-33","80.8","2205","-5.9","-49.7",
"Nelson, Jimmy","519076","2021","93.8","2613","-2.7","-13.7","86.5","2976","13.6","-38.2",,,,,"85.1","2930","10.8","-52.1",
"Pomeranz, Drew","519141","2021","93.9","2507","2.3","-12.3",,,,,,,,,"84.2","2237","-4.4","-52",
"Pressly, Ryan","519151","2021","95.4","2561","-1","-12.9","90.5","2685","4.7","-29.4",,,,,"82","3224","14.4","-54.6",
"Sale, Chris","519242","2021","93.6","2291","13.2","-19.2","78","2243","-11","-49.6","86.5","2019","18.4","-35",,,,,
"Smith, Will","519293","2021","92.8","2240","7.1","-14.5","82.2","2321","-5.9","-37.2",,,,,"77.7","2078","-8.8","-52.9",
"Strickland, Hunter","519326","2021","94.9","2365","-3.4","-16.5","83.8","2769","10","-39.4","89.3","1875","-14.3","-24.6",,,,,
"Workman, Brandon","519443","2021","91.1","2050","-4","-15.3",,,,,,,,,"78.4","2501","5.9","-60.4",
"Zimmermann, Jordan","519455","2021",,,,,,,,,,,,,,,,,
"Hendriks, Liam","521230","2021","97.7","2395","-6.8","-10.2","89","2177","1.9","-31.2","91.6","2394","-11.6","-11.9","85.8","2214","2.7","-46.6",
"Kelly, Joe","523260","2021","97.5","2128","-11.1","-17.7",,,,,"86.9","2001","-17.7","-30.4","87.1","2890","8.6","-45.9",
"Perez, Martin","527048","2021","93.4","2107","11","-15.8",,,,,"84.8","1696","14.7","-28.5","78.7","2459","-5","-49.3",
"Castellanos, Humberto","528748","2021","90.4","2073","-5.8","-21.2","86.9","1989","1.4","-27.1","84.1","1269","-13.4","-33.6","76.2","2352","9.7","-52.5",
"Shoemaker, Matt","533167","2021","91.6","2228","-8.9","-16","82.2","2076","4","-38.9",,,,,"77.3","1947","8.8","-47.6",
"Ramirez, Erasmo","541640","2021","93","2173","-8.1","-16.8","83.9","2231","6","-36.2","85.2","1643","-13","-31.6","80.3","2502","7.3","-45",
"Cisnero, Jose","542585","2021","96.7","2412","-10.6","-14.3","87","2552","5.2","-33.9","90.8","1825","-16.7","-25.8",,,,,
"Anderson, Tyler","542881","2021","90.6","2291","9.1","-15.2","80","2458","-3.2","-38.5","80.9","1835","12.9","-28.2","74.3","2444","-5.9","-54.6",
"Andriese, Matt","542882","2021","92","2341","-6.9","-15",,,,,"86","2196","-4.1","-35.4","80.1","2678","6.2","-56.9",
"Armstrong, Shawn","542888","2021","93.9","2460","-3.6","-14.9","85.4","2704","11.8","-40",,,,,,,,,
"Bass, Anthony","542914","2021","95.4","1976","-5.9","-13.3","85.9","2194","4.5","-39.8",,,,,,,,,
"Bleier, Richard","542947","2021","90.5","2059","12.5","-22.9","78.9","2014","-7.4","-45.6","83.1","1659","16.8","-33.4",,,,,
"Brach, Brad","542960","2021","93.6","2178","-9","-16.8","83.6","2538","6.4","-37.9","86.1","1908","-15.6","-36.5",,,,,
"Chatwood, Tyler","543022","2021","95.8","2387","-3.8","-14.9",,,,,"87.3","1755","-11.2","-28.5","81","2878","12.6","-52.2",
"Cole, Gerrit","543037","2021","97.7","2452","-12","-10.9","88.4","2600","5.3","-34.4","89.8","1719","-15.8","-24","83.4","2800","10.5","-51.6",
"Conley, Adam","543045","2021","95.7","2340","14.4","-16","86.5","2258","-2.6","-36.8","84","2055","17","-29.8","82.5","2217","-6.6","-40.9",
"Coulombe, Danny","543056","2021","90.4","2246","4.3","-18.2","84.5","2385","-3.3","-33.2",,,,,"78.4","2466","-7.1","-61.9",
"DeSclafani, Anthony","543101","2021","94.1","2265","-9.6","-14.6","87.9","2198","4.1","-30.5","88.2","1583","-15.7","-30.1","83","1964","6.3","-46",
"Eovaldi, Nathan","543135","2021","96.8","2113","-12.2","-14.9","85.8","2156","6","-35.1",,,,,"78.5","2086","9.9","-55",
"Gray, Sonny","543243","2021","92.3","2423","-1.8","-16.6","83.6","2597","5.6","-42.7","88.2","1830","-12.4","-25.8","79.4","2752","14.1","-57.6",
"Hand, Brad","543272","2021","92.9","2378","11.9","-16.8",,,,,,,,,,,,,
"Hendricks, Kyle","543294","2021","87.3","1942","-6.9","-20.4",,,,,"80","2008","-13.2","-32","73.2","2844","14.9","-63.4",
"Hudson, Daniel","543339","2021","97","2313","-10.3","-12.7","88.2","2434","2.3","-30.5","87.8","2283","-17.6","-25.6",,,,,
"Jackson, Jay","543351","2021","94.8","2284","-7.5","-13.8","84.9","2372","7","-37.1","89.5","1993","-8.9","-18.1",,,,,
"Lyles, Jordan","543475","2021","93","2278","-7","-13.6","84.9","2705","5.9","-37.6","86.4","1595","-13.7","-27.4","80.3","2619","6.9","-57.4",
"May, Trevor","543507","2021","96.5","2369","-6.2","-11.6","84","2503","5","-42.7","87","1721","-10.5","-22",,,,,
"McHugh, Collin","543521","2021","90.6","2267","-8.5","-16.1",,,,,"85.8","1614","-11.3","-25.4","74.7","2769","13.5","-63",
"Milone, Tommy","543548","2021","84.2","2106","7.8","-19.3","77.7","2164","-5.1","-41.4","76.5","1610","14.6","-37.3","73","2314","-3.5","-55.5",
"Nolin, Sean","543594","2021","90.7","2087","8.4","-16.7","80.5","1930","-9.4","-45.7","79.9","1670","15.5","-34.4","74","1775","-9.9","-62.2",
"Odorizzi, Jake","543606","2021","92.2","2113","-11.3","-15.6","83.1","2033","6.2","-34.5",,,,,"73.5","2066","7.5","-57.4",
"Roark, Tanner","543699","2021","90.7","2008","-4.1","-15.4","86.3","2221","3.1","-25.4","81.8","1808","-14.6","-28.9","73.1","2755","12","-67.9",
"Shaw, Bryan","543766","2021","94.7","2168","-10.2","-21.4","84.1","2667","14.8","-38.8","83.1","1620","-9.1","-33.4","82.4","2172","6.7","-54.8",
"Vincent, Nick","543883","2021","89","2366","-3.5","-18","79.3","2761","13.7","-41.9","83.4","1739","-15.6","-32.4",,,,,
"Weber, Ryan","543901","2021",,,,,"77.8","2311","16.5","-50.6","80.8","1654","-14.9","-39.8","74","2310","14.6","-61.4",
"Familia, Jeurys","544727","2021","97.2","2382","-10.7","-15.2","89.3","2278","-0.7","-29.9",,,,,,,,,
"Strasburg, Stephen","544931","2021","91.9","2079","-7.5","-16.6",,,,,"86.5","1556","-15.1","-33.2","79.4","2718","15.4","-51.9",
"Bauer, Trevor","545333","2021","93.9","2784","-9.9","-11.2",,,,,"88.1","1830","-16.5","-28","79.6","3013","9.4","-63.3",
"Head, Louis","545343","2021","93.7","2254","-6","-14.4","82.3","2675","12.6","-43.2","89.8","1541","-12.6","-31.3",,,,,
"Poteet, Cody","547001","2021","93.6","2422","-7.3","-15.2","85.6","2840","7.2","-37.3","86.8","2014","-15.2","-33.2","79.2","2922","12.7","-52.7",
"Camarena, Daniel","547176","2021","92.9","1689","5","-19.5","84.9","1865","-3.5","-35.2","84.3","1786","9.4","-24","77.8","2012","-4.1","-54",
"Lorenzen, Michael","547179","2021","96.6","2409","-10.1","-13.8","85.3","2560","11.1","-40.1","87.2","1943","-15.1","-28.1","82.7","2447","7.1","-54.8",
"Kim, Kwang Hyun","547942","2021","89.1","2132","0.7","-18.7","83.5","2114","-5.2","-34.8","80.4","1604","11.2","-29.3","69.6","2142","-6","-65.9",
"Ryu, Hyun Jin","547943","2021","89.9","1944","11.9","-20.9","79.8","2059","-3.1","-42.1","79.9","1511","14","-36.2","73.9","2512","-11.7","-64.2",
"Chapman, Aroldis","547973","2021","98.3","2373","4.1","-10.4","85.1","2276","-12.6","-35.6",,,,,,,,,
"Raley, Brooks","548384","2021","90.9","2430","7","-18.1",,,,,"85.8","1938","16","-33","79","2950","-15.8","-50.3",
"Stripling, Ross","548389","2021","91.9","2178","-4.4","-14.1","87.1","2342","4.1","-29.7","83.1","1675","-10.2","-28.8","78","2527","6.4","-57.3",
"Kittredge, Andrew","552640","2021","94.6","2551","0.2","-17.4","88.9","2722","7.7","-33.6","88.8","1520","-10.4","-28.5",,,,,
"Garcia, Yimi","554340","2021","96","2531","-6.7","-17.2","90.4","2521","3.6","-27.5","88.6","1864","-17.7","-32.9","83.6","2729","10.6","-42.2",
"Wheeler, Zack","554430","2021","97.2","2388","-7.6","-13.1",,,,,"90.5","1571","-13.9","-23.6","81.5","2638","9.8","-52.9",
"Matzek, Tyler","554431","2021","96","2435","4.9","-11.7","84.7","2891","-6.6","-44.7",,,,,"80.8","2937","-8.8","-56.7",
"Rodriguez, Joely","570257","2021","93.9","2059","12.2","-19.6","85.7","2160","-3.1","-37.8","88.4","1122","11.2","-34.8",,,,,
"Valdez, Phillips","570488","2021","92.3","2288","-13.3","-24.2","83","2312","5.1","-39.9","85.3","1944","-17.2","-37",,,,,
"Urena, Jose","570632","2021","94.2","2113","-9","-16.9","85.3","2270","2.1","-31.5","89.8","1675","-13.4","-24.5",,,,,
"Robles, Hansel","570663","2021","96.7","2287","-12","-12.9","90.2","2331","0.2","-28.4","89.3","1555","-14.2","-26.4","73.3","1972","6.5","-50.6",
"Cessa, Luis","570666","2021","93.8","2232","-6.4","-15.9","82.7","2474","3.3","-42.9","87.9","1676","-13.2","-30.7",,,,,
"Boyd, Matthew","571510","2021","92","2333","10.7","-17.2","80.4","2368","-3.3","-44.1","79.9","1858","16.2","-37","73.4","2554","-12.5","-67.5",
"Brothers, Rex","571521","2021","94.5","2107","8.6","-13.7","86.2","2090","-1","-35.6",,,,,,,,,
"Corbin, Patrick","571578","2021","92.3","2148","8.1","-17.1","80.7","2215","-3.5","-41.6","81.5","1619","10.4","-28.3","64.7","1786","-3.8","-66.8",
"Farmer, Buck","571656","2021","94","2284","-11.8","-15.4","82.5","2677","2","-39.1","87.7","1604","-14.9","-32.1",,,,,
"Fiers, Mike","571666","2021","87","2290","-9.5","-16.3","83.4","2376","1.7","-26.3","81.4","1874","-17.1","-34","71.6","2720","10.3","-72.3",
"Floro, Dylan","571670","2021","93.8","2233","-9.8","-16","87.2","2018","1.4","-29.3","86.4","1850","-16.7","-34.1",,,,,
"Frankoff, Seth","571676","2021","91.3","2411","-8.8","-17.9","87.7","2543","3.3","-28.7","84.5","2153","-16","-30.9","78.3","2467","8.8","-58.7",
"Givens, Mychal","571710","2021","94.7","2527","-8.8","-18","86.1","2637","6","-33.2","82.3","2163","-9","-42.4",,,,,
"Hale, David","571735","2021","92.8","2225","-9.3","-18.5",,,,,"82.7","1605","-12.5","-31.3","82.7","2304","5.1","-39.5",
"Heaney, Andrew","571760","2021","92","2443","15.3","-17.4","78.6","2463","-4.6","-47.5","83.8","2035","17.2","-31.6","79.4","2574","-7.1","-46.7",
"Hutchison, Drew","571800","2021","92.4","2146","-3.4","-16","85.1","2530","5.1","-39.3","85.7","1604","-13.4","-28.2",,,,,
"Krol, Ian","571871","2021","93.7","2381","8.8","-14.6","87.3","2417","-2.5","-30.2","85.1","1800","14.6","-31.3","78","2527","-9.3","-59.5",
"Law, Derek","571882","2021","93.7","2128","-4.4","-14.5","86.6","2305","3.7","-35.9","86.1","1862","-15.6","-27.6","74.8","2051","1.5","-59.9",
"Loup, Aaron","571901","2021",,,,,,,,,"79.9","1877","17.4","-45.8","75.6","2473","-19.3","-47.3",
"Matz, Steven","571927","2021",,,,,"88.9","2079","1","-28.9","85.1","2260","15.9","-34.6","77.6","2336","-13.3","-54.8",
"Mikolas, Miles","571945","2021","93.2","2300","-4.1","-17.9","87.4","2395","3.8","-32.3","87.4","1642","-12.4","-27","76.6","2569","9.6","-62.3",
"Miller, Shelby","571946","2021","93.5","2363","-7.7","-12.7","80.2","2315","17.5","-46.2",,,,,,,,,
"Milner, Hoby","571948","2021","89.2","1973","15.1","-27",,,,,"81.6","1729","16.3","-39.2","79.4","1865","-15.5","-45.1",
"Richards, Garrett","572070","2021","94.3","2468","1.3","-22","88.1","2745","3.1","-37.3","90.6","1695","-15.4","-28","78.4","3144","11","-64.9",
"Selman, Sam","572125","2021","90.9","2346","4.5","-17.7","79.8","2451","-11.7","-40.3",,,,,,,,,
"Smith, Burch","572143","2021","93.4","2277","-7","-14.4","83.5","2231","3.4","-39","82.1","1870","-12.4","-26.7","78.7","2424","10.2","-58.3",
"Tepera, Ryan","572193","2021","93.3","2243","-7.9","-14.6","86.5","2350","4.1","-32.1","86.5","1364","-11.3","-31.2","80.7","2273","5.8","-46.5",
"Greene, Shane","572888","2021","93.3","2255","-8.2","-17.5",,,,,"86","1613","-13","-37.3",,,,,
"Johnson, Pierce","572955","2021","95.5","2231","-11.2","-13.9",,,,,,,,,"84.3","2886","11","-43.5",
"Keuchel, Dallas","572971","2021","89","2210","5.2","-19.7","77.8","2374","-6.8","-44.5","79.6","1630","14.7","-37.9",,,,,
"Mantiply, Joe","573009","2021","91.4","2250","12.6","-20.9",,,,,"83.4","1697","17.1","-38.2","80.8","2352","-7.6","-45.1",
"Northcraft, Aaron","573062","2021","89.2","2025","-12.5","-34.8","80.9","2142","5.3","-42.6","80.5","1641","-8.5","-54.5",,,,,
"Rogers, Taylor","573124","2021",,,,,,,,,,,,,,,,,
"Stroman, Marcus","573186","2021","92.6","2438","-4.3","-18.6","87.2","2643","4.1","-38.7",,,,,"74.9","2514","16.5","-51",
"Thielbar, Caleb","573204","2021","91.3","2309","2.7","-13.5",,,,,"82.4","2167","4","-24.5","71.8","2383","-9.8","-70",
"Minaya, Juan","573668","2021","95.2","2236","-10.9","-16.2","85.4","2179","3.9","-36.4","88.9","1584","-12.4","-35.2",,,,,
"Kikuchi, Yusei","579328","2021","95.1","2213","10.2","-14","82.5","2404","-2.6","-43","86.2","1452","10.6","-31.2",,,,,
"Adam, Jason","592094","2021","93.8","2605","-7","-14.4","82.5","2760","6.2","-45.2","87.3","1656","-16","-33.2","79","2650","10.5","-56.9",
"Bedrosian, Cam","592135","2021","92.9","2261","-4","-13","81.2","2413","3.4","-48.5",,,,,,,,,
"Biddle, Jesse","592145","2021","93","2607","5.5","-16.3","82.9","2654","-13.6","-41.8",,,,,"78","2622","-11.4","-60",
"Brice, Austin","592169","2021","92.6","2244","-17.7","-25.6",,,,,"88.5","1963","-19.7","-33.7","81.8","2695","7.5","-42.4",
"Claudio, Alex","592222","2021","85.4","1962","15.5","-31.9","75.6","2167","-6.8","-46.8","72.7","1886","18.7","-52",,,,,
